Time,Time_of_day,Base_charge,Adder_charge,Effective_price,Region,Currency,Tariff_type,Season
02:00-03:00,Off-Peak,7.07,-2.62,4.45,IN-WB,INR,ToD,All-Year
03:00-04:00,Off-Peak,7.07,-2.62,4.45,IN-WB,INR,ToD,All-Year
04:00-05:00,Off-Peak,7.07,-2.62,4.45,IN-WB,INR,ToD,All-Year
05:00-06:00,Off-Peak,7.07,-2.62,4.45,IN-WB,INR,ToD,All-Year
06:00-07:00,Normal,7.07,0.39,7.46,IN-WB,INR,ToD,All-Year
07:00-08:00,Normal,7.07,0.39,7.46,IN-WB,INR,ToD,All-Year
08:00-09:00,Normal,7.07,0.39,7.46,IN-WB,INR,ToD,All-Year
09:00-10:00,Normal,7.07,0.39,7.46,IN-WB,INR,ToD,All-Year
10:00-11:00,Normal,7.07,0.39,7.46,IN-WB,INR,ToD,All-Year
11:00-12:00,Normal,7.07,0.39,7.46,IN-WB,INR,ToD,All-Year
12:00-13:00,Normal,7.07,0.39,7.46,IN-WB,INR,ToD,All-Year
13:00-14:00,Normal,7.07,0.39,7.46,IN-WB,INR,ToD,All-Year
14:00-15:00,Normal,7.07,0.39,7.46,IN-WB,INR,ToD,All-Year
15:00-16:00,Normal,7.07,0.39,7.46,IN-WB,INR,ToD,All-Year
16:00-17:00,Normal,7.07,0.39,7.46,IN-WB,INR,ToD,All-Year
17:00-18:00,Peak,7.07,3.88,10.95,IN-WB,INR,ToD,All-Year
18:00-19:00,Peak,7.07,3.88,10.95,IN-WB,INR,ToD,All-Year
19:00-20:00,Peak,7.07,3.88,10.95,IN-WB,INR,ToD,All-Year
20:00-21:00,Peak,7.07,3.88,10.95,IN-WB,INR,ToD,All-Year
21:00-22:00,Peak,7.07,3.88,10.95,IN-WB,INR,ToD,All-Year
22:00-23:00,Peak,7.07,3.88,10.95,IN-WB,INR,ToD,All-Year
23:00-00:00,Off-Peak,7.07,-2.62,4.45,IN-WB,INR,ToD,All-Year
00:00-01:00,Night Rebate,7.0,-1.0,6.0,IN-PB,INR,ToD,All-Year
01:00-02:00,Night Rebate,7.0,-1.0,6.0,IN-PB,INR,ToD,All-Year
02:00-03:00,Night Rebate,7.0,-1.0,6.0,IN-PB,INR,ToD,All-Year
03:00-04:00,Night Rebate,7.0,-1.0,6.0,IN-PB,INR,ToD,All-Year
04:00-05:00,Night Rebate,7.0,-1.0,6.0,IN-PB,INR,ToD,All-Year
05:00-06:00,Night Rebate,7.0,-1.0,6.0,IN-PB,INR,ToD,All-Year
06:00-07:00,Normal,7.0,0.0,7.0,IN-PB,INR,ToD,All-Year
07:00-08:00,Normal,7.0,0.0,7.0,IN-PB,INR,ToD,All-Year
08:00-09:00,Normal,7.0,0.0,7.0,IN-PB,INR,ToD,All-Year
09:00-10:00,Normal,7.0,0.0,7.0,IN-PB,INR,ToD,All-Year
10:00-11:00,Normal,7.0,0.0,7.0,IN-PB,INR,ToD,All-Year
11:00-12:00,Normal,7.0,0.0,7.0,IN-PB,INR,ToD,All-Year
12:00-13:00,Normal,7.0,0.0,7.0,IN-PB,INR,ToD,All-Year
13:00-14:00,Normal,7.0,0.0,7.0,IN-PB,INR,ToD,All-Year
14:00-15:00,Normal,7.0,0.0,7.0,IN-PB,INR,ToD,All-Year
15:00-16:00,Normal,7.0,0.0,7.0,IN-PB,INR,ToD,All-Year
16:00-17:00,Normal,7.0,0.0,7.0,IN-PB,INR,ToD,All-Year
17:00-18:00,Normal,7.0,0.0,7.0,IN-PB,INR,ToD,All-Year
18:00-19:00,Peak Surcharge,7.0,2.0,9.0,IN-PB,INR,ToD,All-Year
19:00-20:00,Peak Surcharge,7.0,2.0,9.0,IN-PB,INR,ToD,All-Year
20:00-21:00,Peak Surcharge,7.0,2.0,9.0,IN-PB,INR,ToD,All-Year
21:00-22:00,Peak Surcharge,7.0,2.0,9.0,IN-PB,INR,ToD,All-Year
22:00-23:00,Night Rebate,7.0,-1.0,6.0,IN-PB,INR,ToD,All-Year
23:00-00:00,Night Rebate,7.0,-1.0,6.0,IN-PB,INR,ToD,All-Year
00:00-01:00,Off-Peak,0.11482,0.0,0.11482,US-CA,USD,ToD,Summer
01:00-02:00,Off-Peak,0.11482,0.0,0.11482,US-CA,USD,ToD,Summer
02:00-03:00,Off-Peak,0.11482,0.0,0.11482,US-CA,USD,ToD,Summer
03:00-04:00,Off-Peak,0.11482,0.0,0.11482,US-CA,USD,ToD,Summer
04:00-05:00,Off-Peak,0.11482,0.0,0.11482,US-CA,USD,ToD,Summer
05:00-06:00,Off-Peak,0.11482,0.0,0.11482,US-CA,USD,ToD,Summer
06:00-07:00,Off-Peak,0.11482,0.0,0.11482,US-CA,USD,ToD,Summer
07:00-08:00,Off-Peak,0.11482,0.0,0.11482,US-CA,USD,ToD,Summer
08:00-09:00,Off-Peak,0.11482,0.0,0.11482,US-CA,USD,ToD,Summer
09:00-10:00,Off-Peak,0.11482,0.0,0.11482,US-CA,USD,ToD,Summer
10:00-11:00,Off-Peak,0.11482,0.0,0.11482,US-CA,USD,ToD,Summer
11:00-12:00,Off-Peak,0.11482,0.0,0.11482,US-CA,USD,ToD,Summer
12:00-13:00,Off-Peak,0.11482,0.0,0.11482,US-CA,USD,ToD,Summer
13:00-14:00,Off-Peak,0.11482,0.0,0.11482,US-CA,USD,ToD,Summer
14:00-15:00,Partial-Peak,0.11482,0.02745,0.14227,US-CA,USD,ToD,Summer
15:00-16:00,Partial-Peak,0.11482,0.02745,0.14227,US-CA,USD,ToD,Summer
16:00-17:00,Peak,0.11482,0.0622,0.17702,US-CA,USD,ToD,Summer
17:00-18:00,Peak,0.11482,0.0622,0.17702,US-CA,USD,ToD,Summer
18:00-19:00,Peak,0.11482,0.0622,0.17702,US-CA,USD,ToD,Summer
19:00-20:00,Peak,0.11482,0.0622,0.17702,US-CA,USD,ToD,Summer
20:00-21:00,Peak,0.11482,0.0622,0.17702,US-CA,USD,ToD,Summer
21:00-22:00,Partial-Peak,0.11482,0.02745,0.14227,US-CA,USD,ToD,Summer
22:00-23:00,Partial-Peak,0.11482,0.02745,0.14227,US-CA,USD,ToD,Summer
23:00-00:00,Off-Peak,0.11482,0.0,0.11482,US-CA,USD,ToD,Summer
00:00-01:00,Off-Peak,0.1146,0.0,0.1146,US-CA,USD,ToD,Winter
01:00-02:00,Off-Peak,0.1146,0.0,0.1146,US-CA,USD,ToD,Winter
02:00-03:00,Off-Peak,0.1146,0.0,0.1146,US-CA,USD,ToD,Winter
03:00-04:00,Off-Peak,0.1146,0.0,0.1146,US-CA,USD,ToD,Winter
04:00-05:00,Off-Peak,0.1146,0.0,0.1146,US-CA,USD,ToD,Winter
05:00-06:00,Off-Peak,0.1146,0.0,0.1146,US-CA,USD,ToD,Winter
06:00-07:00,Off-Peak,0.1146,0.0,0.1146,US-CA,USD,ToD,Winter
07:00-08:00,Off-Peak,0.1146,0.0,0.1146,US-CA,USD,ToD,Winter
08:00-09:00,Off-Peak,0.1146,0.0,0.1146,US-CA,USD,ToD,Winter
09:00-10:00,"Solar (Super Off-Peak, Mar-May only)",0.1146,-0.05588,0.05872,US-CA,USD,ToD,Winter
10:00-11:00,"Solar (Super Off-Peak, Mar-May only)",0.1146,-0.05588,0.05872,US-CA,USD,ToD,Winter
11:00-12:00,"Solar (Super Off-Peak, Mar-May only)",0.1146,-0.05588,0.05872,US-CA,USD,ToD,Winter
12:00-13:00,"Solar (Super Off-Peak, Mar-May only)",0.1146,-0.05588,0.05872,US-CA,USD,ToD,Winter
13:00-14:00,"Solar (Super Off-Peak, Mar-May only)",0.1146,-0.05588,0.05872,US-CA,USD,ToD,Winter
14:00-15:00,Off-Peak,0.1146,0.0,0.1146,US-CA,USD,ToD,Winter
15:00-16:00,Off-Peak,0.1146,0.0,0.1146,US-CA,USD,ToD,Winter
16:00-17:00,Peak,0.1146,0.04172,0.15632,US-CA,USD,ToD,Winter
17:00-18:00,Peak,0.1146,0.04172,0.15632,US-CA,USD,ToD,Winter
18:00-19:00,Peak,0.1146,0.04172,0.15632,US-CA,USD,ToD,Winter
19:00-20:00,Peak,0.1146,0.04172,0.15632,US-CA,USD,ToD,Winter
20:00-21:00,Peak,0.1146,0.04172,0.15632,US-CA,USD,ToD,Winter
21:00-22:00,Off-Peak,0.1146,0.0,0.1146,US-CA,USD,ToD,Winter
22:00-23:00,Off-Peak,0.1146,0.0,0.1146,US-CA,USD,ToD,Winter
23:00-00:00,Off-Peak,0.1146,0.0,0.1146,US-CA,USD,ToD,Winter
00:00-01:00,Off-Peak (demand),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
01:00-02:00,Off-Peak (demand),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
02:00-03:00,Off-Peak (demand),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
03:00-04:00,Off-Peak (demand),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
04:00-05:00,Off-Peak (demand),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
05:00-06:00,Off-Peak (demand),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
06:00-07:00,Off-Peak (demand),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
07:00-08:00,Off-Peak (demand),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
08:00-09:00,Peak (demand - summer daytime),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
09:00-10:00,Peak (demand - summer daytime),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
10:00-11:00,Peak (demand - summer daytime),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
11:00-12:00,Peak (demand - summer daytime),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
12:00-13:00,Peak (demand - summer daytime),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
13:00-14:00,Peak (demand - summer daytime),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
14:00-15:00,Peak (demand - summer daytime),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
15:00-16:00,Peak (demand - summer daytime),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
16:00-17:00,Peak (demand - summer daytime),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
17:00-18:00,Peak (demand - summer daytime),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
18:00-19:00,Peak (demand - year-round evening),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
19:00-20:00,Peak (demand - year-round evening),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
20:00-21:00,Peak (demand - year-round evening),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
21:00-22:00,Peak (demand - year-round evening),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
22:00-23:00,Off-Peak (demand),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
23:00-00:00,Off-Peak (demand),0.208,0.0,0.208,US-NY,USD,Demand,All-Year
00:00-01:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
01:00-02:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
02:00-03:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
03:00-04:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
04:00-05:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
05:00-06:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
06:00-07:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
07:00-08:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
08:00-09:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
09:00-10:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
10:00-11:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
11:00-12:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
12:00-13:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
13:00-14:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
14:00-15:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
15:00-16:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
16:00-17:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
17:00-18:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
18:00-19:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
19:00-20:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
20:00-21:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
21:00-22:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
22:00-23:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
23:00-00:00,Flat (No ToD),0.061196,0.0,0.061196,US-TX,USD,Flat,All-Year
00:00-01:00,Laglasttid (Low-Load),0.034,0.0,0.034,SE,SEK,Demand,Winter
01:00-02:00,Laglasttid (Low-Load),0.034,0.0,0.034,SE,SEK,Demand,Winter
02:00-03:00,Laglasttid (Low-Load),0.034,0.0,0.034,SE,SEK,Demand,Winter
03:00-04:00,Laglasttid (Low-Load),0.034,0.0,0.034,SE,SEK,Demand,Winter
04:00-05:00,Laglasttid (Low-Load),0.034,0.0,0.034,SE,SEK,Demand,Winter
05:00-06:00,Laglasttid (Low-Load),0.034,0.0,0.034,SE,SEK,Demand,Winter
06:00-07:00,Hoglasttid (High-Load; winter weekdays),0.034,0.0,0.034,SE,SEK,Demand,Winter
07:00-08:00,Hoglasttid (High-Load; winter weekdays),0.034,0.0,0.034,SE,SEK,Demand,Winter
08:00-09:00,Hoglasttid (High-Load; winter weekdays),0.034,0.0,0.034,SE,SEK,Demand,Winter
09:00-10:00,Hoglasttid (High-Load; winter weekdays),0.034,0.0,0.034,SE,SEK,Demand,Winter
10:00-11:00,Hoglasttid (High-Load; winter weekdays),0.034,0.0,0.034,SE,SEK,Demand,Winter
11:00-12:00,Hoglasttid (High-Load; winter weekdays),0.034,0.0,0.034,SE,SEK,Demand,Winter
12:00-13:00,Hoglasttid (High-Load; winter weekdays),0.034,0.0,0.034,SE,SEK,Demand,Winter
13:00-14:00,Hoglasttid (High-Load; winter weekdays),0.034,0.0,0.034,SE,SEK,Demand,Winter
14:00-15:00,Hoglasttid (High-Load; winter weekdays),0.034,0.0,0.034,SE,SEK,Demand,Winter
15:00-16:00,Hoglasttid (High-Load; winter weekdays),0.034,0.0,0.034,SE,SEK,Demand,Winter
16:00-17:00,Hoglasttid (High-Load; winter weekdays),0.034,0.0,0.034,SE,SEK,Demand,Winter
17:00-18:00,Hoglasttid (High-Load; winter weekdays),0.034,0.0,0.034,SE,SEK,Demand,Winter
18:00-19:00,Hoglasttid (High-Load; winter weekdays),0.034,0.0,0.034,SE,SEK,Demand,Winter
19:00-20:00,Hoglasttid (High-Load; winter weekdays),0.034,0.0,0.034,SE,SEK,Demand,Winter
20:00-21:00,Hoglasttid (High-Load; winter weekdays),0.034,0.0,0.034,SE,SEK,Demand,Winter
21:00-22:00,Hoglasttid (High-Load; winter weekdays),0.034,0.0,0.034,SE,SEK,Demand,Winter
22:00-23:00,Laglasttid (Low-Load),0.034,0.0,0.034,SE,SEK,Demand,Winter
23:00-00:00,Laglasttid (Low-Load),0.034,0.0,0.034,SE,SEK,Demand,Winter
00:00-01:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
01:00-02:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
02:00-03:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
03:00-04:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
04:00-05:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
05:00-06:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
06:00-07:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
07:00-08:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
08:00-09:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
09:00-10:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
10:00-11:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
11:00-12:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
12:00-13:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
13:00-14:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
14:00-15:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
15:00-16:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
16:00-17:00,Peak (demand - Nov-Mar only),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
17:00-18:00,Peak (demand - Nov-Mar only),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
18:00-19:00,Peak (demand - Nov-Mar only),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
19:00-20:00,Peak (demand - Nov-Mar only),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
20:00-21:00,Peak (demand - Nov-Mar only),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
21:00-22:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
22:00-23:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
23:00-00:00,Off-Peak (demand),0.0,0.0,0.0,AU-SA-Large,AUD,Demand,Summer
00:00-01:00,Off-Peak,0.09,0.0,0.09,AU-SA-Small,AUD,ToD,All-Year
01:00-02:00,Off-Peak,0.09,0.0,0.09,AU-SA-Small,AUD,ToD,All-Year
02:00-03:00,Off-Peak,0.09,0.0,0.09,AU-SA-Small,AUD,ToD,All-Year
03:00-04:00,Off-Peak,0.09,0.0,0.09,AU-SA-Small,AUD,ToD,All-Year
04:00-05:00,Off-Peak,0.09,0.0,0.09,AU-SA-Small,AUD,ToD,All-Year
05:00-06:00,Off-Peak,0.09,0.0,0.09,AU-SA-Small,AUD,ToD,All-Year
06:00-07:00,Off-Peak,0.09,0.0,0.09,AU-SA-Small,AUD,ToD,All-Year
07:00-08:00,Off-Peak,0.09,0.0,0.09,AU-SA-Small,AUD,ToD,All-Year
08:00-09:00,Off-Peak,0.09,0.0,0.09,AU-SA-Small,AUD,ToD,All-Year
09:00-10:00,Off-Peak,0.09,0.0,0.09,AU-SA-Small,AUD,ToD,All-Year
10:00-11:00,Solar Sponge,0.09,-0.06,0.03,AU-SA-Small,AUD,ToD,All-Year
11:00-12:00,Solar Sponge,0.09,-0.06,0.03,AU-SA-Small,AUD,ToD,All-Year
12:00-13:00,Solar Sponge,0.09,-0.06,0.03,AU-SA-Small,AUD,ToD,All-Year
13:00-14:00,Solar Sponge,0.09,-0.06,0.03,AU-SA-Small,AUD,ToD,All-Year
14:00-15:00,Solar Sponge,0.09,-0.06,0.03,AU-SA-Small,AUD,ToD,All-Year
15:00-16:00,Off-Peak,0.09,0.0,0.09,AU-SA-Small,AUD,ToD,All-Year
16:00-17:00,Peak,0.09,0.23,0.32,AU-SA-Small,AUD,ToD,All-Year
17:00-18:00,Peak,0.09,0.23,0.32,AU-SA-Small,AUD,ToD,All-Year
18:00-19:00,Peak,0.09,0.23,0.32,AU-SA-Small,AUD,ToD,All-Year
19:00-20:00,Peak,0.09,0.23,0.32,AU-SA-Small,AUD,ToD,All-Year
20:00-21:00,Peak,0.09,0.23,0.32,AU-SA-Small,AUD,ToD,All-Year
21:00-22:00,Off-Peak,0.09,0.0,0.09,AU-SA-Small,AUD,ToD,All-Year
22:00-23:00,Off-Peak,0.09,0.0,0.09,AU-SA-Small,AUD,ToD,All-Year
23:00-00:00,Off-Peak,0.09,0.0,0.09,AU-SA-Small,AUD,ToD,All-Year
